id;uri;artist;song;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;this_timesignature
5uvosCdMlFdTXhoazkTI5R;spotify:track:5uvosCdMlFdTXhoazkTI5R;The Doors;Light My Fire;0.413;0.725;3;-5.787;0;0.0324;0.369;2.16e-05;0.0905;0.44;124.618;429760;4
6ToM0uwxtPKo9CMpbPGYvM;spotify:track:6ToM0uwxtPKo9CMpbPGYvM;The Doors;Break on Through (To the Other Side);0.421;0.751;9;-9.584;1;0.0472;0.2;0;0.17;0.789;89.839;145867;4
1Q5kgpp4pmyGqPwNBzkSrw;spotify:track:1Q5kgpp4pmyGqPwNBzkSrw;The Doors;Roadhouse Blues;0.623;0.633;9;-8.212;1;0.0304;0.336;4.6e-05;0.147;0.895;121.119;243827;4
2ibNhXeLiX8fm7KQtQUIgl;spotify:track:2ibNhXeLiX8fm7KQtQUIgl;The Doors;Smokers Outside the Hospital Doors;0.528;0.676;7;-3.792;1;0.037;4.69e-05;0.0652;0.116;0.528;122.988;297640;4
6DmfWj5kOa1fX8AwN9byOn;spotify:track:6DmfWj5kOa1fX8AwN9byOn;The Doors;L.A. Woman;0.354;0.731;2;-9.178;1;0.0382;0.0812;0.00124;0.115;0.697;170.633;471160;4
5piJiL6aRhvrKBa9YuEfS9;spotify:track:5piJiL6aRhvrKBa9YuEfS9;The Doors;Peace Frog;0.641;0.725;7;-7.376;1;0.039;0.16;0.00321;0.648;0.808;112.529;170133;4
5IXk34xSm6rxNgXkCveC3r;spotify:track:5IXk34xSm6rxNgXkCveC3r;The Doors;Here Without You;0.555;0.545;10;-6.768;0;0.0255;0.0629;0;0.124;0.193;143.988;238560;4
4BVE5tIIpYabZcYCbephNW;spotify:track:4BVE5tIIpYabZcYCbephNW;The Doors;Touch Me;0.425;0.903;1;-4.801;1;0.0732;0.405;0.0128;0.117;0.769;108.748;190253;4
5UgT7w6zVZjP3oyawMzbiK;spotify:track:5UgT7w6zVZjP3oyawMzbiK;The Doors;The End;0.347;0.302;0;-12.104;1;0.0291;0.163;9.17e-05;0.14;0.0332;105.702;703373;4
6jwVhh2pGXVUtCCW01TU9x;spotify:track:6jwVhh2pGXVUtCCW01TU9x;The Doors;Riders On the Storm - 2017 Remaster;0.576;0.382;11;-19.428;0;0.0293;0.68;0.0111;0.14;0.794;103.762;294653;4
6IMQw2rfzAw8fVlZm9H1Wu;spotify:track:6IMQw2rfzAw8fVlZm9H1Wu;The Doors;You're Lost Little Girl;0.509;0.386;4;-10.401;0;0.0269;0.63;5.4e-05;0.125;0.389;111.694;180573;4
3MFFDRC4wTN9JNGtzXsZlN;spotify:track:3MFFDRC4wTN9JNGtzXsZlN;The Doors;Love Her Madly;0.565;0.587;4;-7.393;0;0.0317;0.0573;0.00493;0.0416;0.966;147.462;198467;4
2Xdc6qyaFBJZ8QW1KhpVci;spotify:track:2Xdc6qyaFBJZ8QW1KhpVci;The Doors;Soul Kitchen;0.679;0.443;9;-7.376;1;0.0394;0.33;0;0.0533;0.609;115.843;213000;4
6GsbuMXqqHXFwG2fGRk5iA;spotify:track:6GsbuMXqqHXFwG2fGRk5iA;The Doors;Been Down So Long;0.81;0.376;4;-7.941;1;0.0411;0.208;5.52e-05;0.0622;0.635;122.618;279867;4
0RcYEWXtbu4ehdv1tiBOi0;spotify:track:0RcYEWXtbu4ehdv1tiBOi0;The Doors;Riders On The Storm - Fredwreck Remix;0.878;0.786;11;-5.273;0;0.152;0.416;3.1e-05;0.122;0.831;101.984;382240;4
67HxeUADW4H3ERfaPW59ma;spotify:track:67HxeUADW4H3ERfaPW59ma;The Doors;Love Me Two Times;0.684;0.698;9;-6.219;1;0.041;0.332;5.16e-06;0.122;0.839;132.846;195107;4
5FlBGGwGuqYmqr0qeBWrxe;spotify:track:5FlBGGwGuqYmqr0qeBWrxe;The Doors;Five to One;0.615;0.401;4;-14.07;0;0.0507;0.203;0;0.086;0.672;87.959;264960;4
3NLrRZoMF0Lx6zTlYqeIo4;spotify:track:3NLrRZoMF0Lx6zTlYqeIo4;The Doors;Here Without You;0.557;0.533;10;-6.817;0;0.0252;0.0492;0;0.205;0.233;143.994;238733;4
0JNZGIavoUrdup1NsgJOQs;spotify:track:0JNZGIavoUrdup1NsgJOQs;The Doors;Alabama Song (Whisky Bar);0.568;0.645;5;-8.363;1;0.0416;0.543;0;0.191;0.901;170.676;197400;4
542C7PqR1oEfl63hlhQO4V;spotify:track:542C7PqR1oEfl63hlhQO4V;The Doors;The Most Beautiful Girl;0.576;0.318;7;-14.366;1;0.0286;0.661;7.47e-06;0.167;0.41;103.493;161907;4
0gWvVB4bGvADocoPMEDy3K;spotify:track:0gWvVB4bGvADocoPMEDy3K;The Doors;The Crystal Ship;0.313;0.42;10;-9.806;1;0.0303;0.797;2.35e-06;0.126;0.339;178.711;152000;4
2cHmYju6hSMsLZjNOlxU91;spotify:track:2cHmYju6hSMsLZjNOlxU91;The Doors;The Doors of Durin;0.0931;0.153;1;-20.136;1;0.0529;0.797;0.881;0.144;0.0394;88.069;363213;4
0pXYF32YBDiSC6PkQAgBBt;spotify:track:0pXYF32YBDiSC6PkQAgBBt;The Doors;When I'm Gone;0.529;0.754;7;-5.602;1;0.0285;0.00375;0;0.102;0.321;147.955;260507;4
1ShWHEgisDGPl9G3g85ANu;spotify:track:1ShWHEgisDGPl9G3g85ANu;The Doors;Breakn' a Sweat;0.596;0.921;11;-2.5;0;0.074;0.0049;0.00019;0.536;0.232;139.969;301987;4
5XTdMVT5i5qcfyTXWxhxVZ;spotify:track:5XTdMVT5i5qcfyTXWxhxVZ;The Doors;Ghost Song;0.764;0.48;0;-13.63;1;0.0819;0.416;0.316;0.107;0.705;110.175;170667;4
03By6gD02qhtvIQiK8KidK;spotify:track:03By6gD02qhtvIQiK8KidK;The Doors;Back Door Man;0.476;0.612;9;-7.01;1;0.0335;0.287;0.000252;0.0877;0.909;177.233;212427;4
5Q2Im8o4RthlAMkvUMYwGj;spotify:track:5Q2Im8o4RthlAMkvUMYwGj;The Doors;Love Street;0.709;0.305;9;-14.809;0;0.0397;0.687;0;0.265;0.483;118.821;169533;4
3PbHle8KhJp6GuO1jLdEmQ;spotify:track:3PbHle8KhJp6GuO1jLdEmQ;The Doors;Be Like That;0.487;0.702;7;-6.043;1;0.0238;0.00528;4.97e-06;0.129;0.306;95.982;265907;4
42dsUTJpzMWUJfEkzsbKWl;spotify:track:42dsUTJpzMWUJfEkzsbKWl;The Doors;When the Music's Over;0.532;0.459;9;-10.329;1;0.0307;0.172;6.61e-05;0.0472;0.597;98.196;659267;4
0tPSQRfT0kykkOYoA4vLs7;spotify:track:0tPSQRfT0kykkOYoA4vLs7;The Doors;Bolt the Doors;0.359;0.769;7;-6.243;1;0.0369;0.000174;0.000998;0.354;0.467;110.005;153552;4
70LcF31zb1H0PyJoS1Sx1r;spotify:track:70LcF31zb1H0PyJoS1Sx1r;Radiohead;Creep;0.515;0.43;7;-9.935;1;0.0372;0.0097;0.000133;0.129;0.104;91.844;238640;4
2QwObYJWyJTiozvs0RI7CF;spotify:track:2QwObYJWyJTiozvs0RI7CF;Radiohead;Street Spirit (Fade Out);0.488;0.454;4;-11.544;0;0.0304;0.317;0.694;0.179;0.131;138.076;253853;4
10nyNJ6zNy2YVYLrcwLccB;spotify:track:10nyNJ6zNy2YVYLrcwLccB;Radiohead;No Surprises;0.255;0.393;5;-10.654;1;0.0278;0.0577;0.00361;0.113;0.118;76.426;229120;4
02ppMPbg1OtEdHgoPqoqju;spotify:track:02ppMPbg1OtEdHgoPqoqju;Radiohead;Reckoner;0.523;0.656;4;-7.441;0;0.0262;0.511;0.16;0.0679;0.214;104.271;290213;4
63OQupATfueTdZMWTxW03A;spotify:track:63OQupATfueTdZMWTxW03A;Radiohead;Karma Police;0.36;0.501;7;-9.129;1;0.0258;0.0638;9.32e-05;0.172;0.324;74.807;264067;4
62SvkbQm1wMS6KZtbtls1V;spotify:track:62SvkbQm1wMS6KZtbtls1V;Radiohead;True Love Waits - Live in Oslo;0.298;0.483;5;-8.822;1;0.0358;0.455;0.00298;0.69;0.0642;164.299;304920;4
2a1iMaoWQ5MnvLFBDv4qkf;spotify:track:2a1iMaoWQ5MnvLFBDv4qkf;Radiohead;High and Dry;0.419;0.383;4;-11.782;1;0.0256;0.0724;0.0176;0.0896;0.35;87.568;257480;4
73CKjW3vsUXRpy3NnX4H7F;spotify:track:73CKjW3vsUXRpy3NnX4H7F;Radiohead;Fake Plastic Trees;0.463;0.229;2;-12.592;1;0.0297;0.167;0.0997;0.202;0.135;73.543;290707;4
1dyTcli07c77mtQK3ahUZR;spotify:track:1dyTcli07c77mtQK3ahUZR;Radiohead;Just;0.291;0.767;7;-6.913;0;0.0862;0.000401;0.012;0.0763;0.359;175.702;234800;4
4wajJ1o7jWIg62YqpkHC7S;spotify:track:4wajJ1o7jWIg62YqpkHC7S;Radiohead;Weird Fishes/ Arpeggi;0.531;0.61;11;-8.025;0;0.0387;0.772;0.756;0.0908;0.199;152.958;318187;4
0z1o5L7HJx562xZSATcIpY;spotify:track:0z1o5L7HJx562xZSATcIpY;Radiohead;Exit Music (For A Film);0.293;0.276;4;-11.357;0;0.0349;0.224;0.122;0.167;0.195;121.603;267187;4
6LgJvl0Xdtc73RJ1mmpotq;spotify:track:6LgJvl0Xdtc73RJ1mmpotq;Radiohead;Paranoid Android;0.251;0.848;5;-6.501;1;0.0579;0.0377;0.00591;0.0545;0.207;163.709;387213;4
35YyxFpE0ZTOoqFx5bADW8;spotify:track:35YyxFpE0ZTOoqFx5bADW8;Radiohead;Nude;0.516;0.342;4;-9.785;1;0.0342;0.832;0.579;0.0857;0.167;128.378;255387;3
2kRFrWaLWiKq48YYVdGcm8;spotify:track:2kRFrWaLWiKq48YYVdGcm8;Radiohead;Everything In Its Right Place;0.296;0.463;5;-11.412;0;0.0449;0.705;0.0482;0.0954;0.0629;123.943;251427;5
2fuYa3Lx06QQJAm0MjztKr;spotify:track:2fuYa3Lx06QQJAm0MjztKr;Radiohead;Let Down;0.351;0.676;9;-9.017;1;0.0313;0.000121;0.113;0.18;0.143;102.46;299560;4
